fen,game_id
r1bqkb1r/pp2pppp/2n5/2p1P3/2Pp1B2/3B1N2/PPP2PPP/R2QK2R b KQkq - 1 8,e1
r2qkb1r/pp2pppp/2n5/2p1P3/2Pp1B2/3B1Q1P/PPP2PP1/R3K2R b KQkq - 0 10,e1
r3kb1r/pp3ppp/2n1p3/q1p1P3/2Pp4/3B2QP/PPPB1PP1/R3K2R b KQkq - 3 12,e1
r3kb1r/ppq2p1p/2n1p1p1/2p1P3/2Pp1P2/3B2QP/PPPB2P1/R4RK1 b kq - 1 14,e1
2kr1b1r/ppq2p2/2n1p1p1/2p1P2p/2Pp1P2/P2B2QP/1PPB2P1/4RRK1 b - - 0 16,e1
2kr1b1r/ppq1np2/4p1p1/2p1P3/1PPp1P1p/P2B1Q1P/2PB2P1/4RRK1 b - - 0 18,e1
2kr3r/ppq2p2/4p1p1/2b1Pn2/2Pp1P1p/P2B1Q1P/2PB2P1/1R3RK1 b - - 1 20,e1
2kr3r/p1q2p2/1p2p1p1/2b1P3/P1Pp1P1p/3BnQ1P/2PB2P1/1R2R1K1 b - - 2 22,e1
3r3r/2qk1p2/1p2p1p1/pRb1P3/P1Pp1P1p/3BnQ1P/2PB2P1/4R2K b - - 3 24,e1
3r3r/2q1kp2/1p2p1p1/pRb1Pn2/P1Pp1P1p/3B1Q1P/2PB2P1/4R2K b - - 7 26,e1
3r3r/2q1kp2/1p2p1p1/pRb1Pn2/P1Pp1P1p/3B1Q1P/2PB2P1/4R2K b - - 11 28,e1
1r5r/2q1kp2/1p2p1p1/BRb1Pn2/P1Pp1P1p/3B1Q1P/2P3P1/1R5K b - - 0 30,e1
1rr5/2q1kp2/1p2p1p1/1RB1P3/P1Pp1P1p/3BnQ1P/2P3P1/1R5K b - - 0 32,e1
1rr2k2/1Rq2p2/4p1p1/2p1P3/P1PpBP1p/4nQ1P/2P3P1/1R5K b - - 3 34,e1
r2qkbnr/pp3ppp/2n1p3/3pPb2/3P4/2N2N2/PP2BPPP/R1BQK2R b KQkq - 1 8,e2
r2qkb1r/pp2npp1/2n1p2p/1N1pPb2/3P4/5N2/PP2BPPP/R1BQ1RK1 b kq - 3 10,e2
r1nqkb1r/pp3pp1/2n1p2p/1N1pP3/3P4/3Q1N2/PP3PPP/R1B2RK1 b kq - 0 12,e2
r1nqk2r/1p2bpp1/p1n1p2p/3pP3/3P4/2NQ4/PP3PPP/R1B1NRK1 b kq - 1 14,e2
r1n1k2r/1p2bpp1/pq2p2p/3pP3/1N1P4/2NQ4/PP3PPP/R1B2RK1 b kq - 0 16,e2
