position,elo,p_az_move,p_gm_move,maia_top,p_top,top3
fig8_provoke_h6,1100,0.065,0.1,f3d4,0.7341,f3d4:0.734 c1e3:0.100 c1g5:0.065
fig8_provoke_h6,1200,0.0658,0.1049,f3d4,0.7314,f3d4:0.731 c1e3:0.105 c1g5:0.066
fig8_provoke_h6,1300,0.0622,0.1033,f3d4,0.7458,f3d4:0.746 c1e3:0.103 c1g5:0.062
fig8_provoke_h6,1400,0.061,0.1024,f3d4,0.7499,f3d4:0.750 c1e3:0.102 c1g5:0.061
fig8_provoke_h6,1500,0.0587,0.1023,f3d4,0.7549,f3d4:0.755 c1e3:0.102 c1g5:0.059
fig8_provoke_h6,1600,0.0534,0.0988,f3d4,0.7645,f3d4:0.764 c1e3:0.099 c1g5:0.053
fig8_provoke_h6,1700,0.0466,0.0923,f3d4,0.78,f3d4:0.780 c1e3:0.092 c1g5:0.047
fig8_provoke_h6,1800,0.0392,0.0874,f3d4,0.798,f3d4:0.798 c1e3:0.087 c1g5:0.039
fig8_provoke_h6,1900,0.0331,0.0855,f3d4,0.8093,f3d4:0.809 c1e3:0.086 f1d3:0.042
fig8_provoke_h6,2000,0.0194,0.0841,f3d4,0.8382,f3d4:0.838 c1e3:0.084 f1d3:0.037
fig10_both_flanks,1100,0.0061,0.4665,g4g5,0.4665,g4g5:0.467 f4f5:0.146 c3a4:0.086
fig10_both_flanks,1200,0.0064,0.4296,g4g5,0.4296,g4g5:0.430 f4f5:0.147 c3a4:0.107
fig10_both_flanks,1300,0.0065,0.3929,g4g5,0.3929,g4g5:0.393 f4f5:0.156 c3a4:0.129
fig10_both_flanks,1400,0.0069,0.3459,g4g5,0.3459,g4g5:0.346 f4f5:0.169 c3a4:0.149
fig10_both_flanks,1500,0.0074,0.3145,g4g5,0.3145,g4g5:0.315 c3a4:0.170 f4f5:0.169
fig10_both_flanks,1600,0.0081,0.2615,g4g5,0.2615,g4g5:0.262 c3a4:0.204 f4f5:0.179
fig10_both_flanks,1700,0.0092,0.2235,c3a4,0.227,c3a4:0.227 g4g5:0.224 f4f5:0.183
fig10_both_flanks,1800,0.0111,0.1873,c3a4,0.2372,c3a4:0.237 g4g5:0.187 f4f5:0.186
fig10_both_flanks,1900,0.0127,0.1594,c3a4,0.2453,c3a4:0.245 f4f5:0.189 g4g5:0.159
fig10_both_flanks,2000,0.0222,0.1101,c3a4,0.208,c3a4:0.208 f4f5:0.187 g4g5:0.110
fig14L_space_over_material,1100,0.0685,0.0685,a1c1,0.2306,a1c1:0.231 d2d3:0.130 d2c2:0.093
fig14L_space_over_material,1200,0.0608,0.0608,a1c1,0.2457,a1c1:0.246 d2d3:0.117 d2c2:0.102
fig14L_space_over_material,1300,0.0538,0.0538,a1c1,0.2621,a1c1:0.262 d2c2:0.110 d2d3:0.105
fig14L_space_over_material,1400,0.0473,0.0473,a1c1,0.2827,a1c1:0.283 d2c2:0.118 d2d3:0.090
fig14L_space_over_material,1500,0.0398,0.0398,a1c1,0.3142,a1c1:0.314 d2c2:0.128 d2f2:0.081
fig14L_space_over_material,1600,0.0338,0.0338,a1c1,0.3508,a1c1:0.351 d2c2:0.136 e4f3:0.080
fig14L_space_over_material,1700,0.0284,0.0284,a1c1,0.391,a1c1:0.391 d2c2:0.144 e4f3:0.079
fig14L_space_over_material,1800,0.0247,0.0247,a1c1,0.4233,a1c1:0.423 d2c2:0.156 d2c3:0.076
fig14L_space_over_material,1900,0.0219,0.0219,a1c1,0.4431,a1c1:0.443 d2c2:0.167 d2c3:0.080
fig14L_space_over_material,2000,0.0201,0.0201,a1c1,0.4482,a1c1:0.448 d2c2:0.186 d2c3:0.089
fig14R_structure_over_material,1100,0.0524,,c3c4,0.7069,c3c4:0.707 e1g1:0.132 a3a4:0.052
fig14R_structure_over_material,1200,0.0551,,c3c4,0.6951,c3c4:0.695 e1g1:0.151 a3a4:0.055
fig14R_structure_over_material,1300,0.0573,,c3c4,0.6879,c3c4:0.688 e1g1:0.166 a3a4:0.057
fig14R_structure_over_material,1400,0.0576,,c3c4,0.685,c3c4:0.685 e1g1:0.179 a3a4:0.058
fig14R_structure_over_material,1500,0.0571,,c3c4,0.6828,c3c4:0.683 e1g1:0.189 a3a4:0.057
fig14R_structure_over_material,1600,0.0591,,c3c4,0.6652,c3c4:0.665 e1g1:0.207 a3a4:0.059
fig14R_structure_over_material,1700,0.0574,,c3c4,0.6572,c3c4:0.657 e1g1:0.220 a3a4:0.057
fig14R_structure_over_material,1800,0.0542,,c3c4,0.6633,c3c4:0.663 e1g1:0.221 a3a4:0.054
fig14R_structure_over_material,1900,0.0507,,c3c4,0.6601,c3c4:0.660 e1g1:0.227 a3a4:0.051
fig14R_structure_over_material,2000,0.0487,,c3c4,0.6285,c3c4:0.628 e1g1:0.246 a3a4:0.049
