fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
rnb1k2r/pp1nqppp/4p3/2ppP3/3P4/2PB1N2/PP3PPP/RN1QK2R b KQkq - 0 8,16,5hd19YaA,e8g8,-56,5,h7h6,0.107,0.0659,0.0472,0.0221,b8c6,b8c6,b8c6,b8c6,6.0,0.107,-0.0849,False
r1b1k2r/pp1nqpp1/2n1p2p/2ppP3/3P4/2PB1N2/PP1N1PPP/R2Q1RK1 b kq - 3 10,20,5hd19YaA,e7d8,-67,9,e8g8,0.0019,0.0016,0.0012,0.0004,e8g8,e8g8,e8g8,e8g8,9.0,0.0019,-0.0015,False
r1b2rk1/pp1nq1p1/2n1pP1p/2pp4/3P4/P1PB1N2/1P1N1PPP/R2Q1RK1 b - - 0 12,24,5hd19YaA,e7f6,5,94,d7f6,0.3623,0.254,0.1973,0.1961,d7f6,d7f6,d7f6,d7f6,94.0,0.3623,-0.1662,False
r4rk1/pp1bq1p1/2n1pn1p/2pp4/3P4/P1PB1N2/1P1N1PPP/2RQR1K1 b - - 3 14,28,5hd19YaA,a8c8,-123,5,a7a6,0.0735,0.0683,0.0805,0.104,c5c4,c5c4,c5c4,a8e8,30.0,0.104,0.0305,False
r4rk1/1p1bq1p1/p1n2n1p/2Ppp3/7N/P1PB4/1P1N1PPP/2RQR1K1 b - - 1 16,32,5hd19YaA,f6g4,127,83,e5e4,0.0467,0.0403,0.0327,0.029,e5e4,e5e4,e5e4,e5e4,270.0,0.0467,-0.0177,True
r4Nk1/1p1b1qp1/p1n2n1p/2Pp4/4p3/P1PB4/1P1N1PPP/2RQR1K1 b - - 0 18,36,5hd19YaA,a8f8,-184,44,a8f8,0.4066,0.4349,0.4226,0.395,a8f8,e4d3,e4d3,e4d3,169.0,0.4349,-0.0116,False
5rk1/1p1b1qp1/p4n1p/2Ppn3/4p3/P1P5/1P1NBPPP/2RQ1RK1 b - - 3 20,40,5hd19YaA,f6g4,-77,9,f6g4,0.108,0.1055,0.1205,0.159,f7g6,f7g6,f7g6,f7g6,20.0,0.159,0.051,False
5rk1/1p3qp1/p6p/2Ppn3/4p1b1/PNP5/1P3PPP/2RQ1RK1 b - - 1 22,44,5hd19YaA,g4d1,523,170,g4d1,0.8525,0.9008,0.9328,0.9539,g4d1,g4d1,g4d1,g4d1,0.0,0.9539,0.1014,False
5rk1/1p3qp1/p6p/2Pp4/3Np1n1/P1P5/1P3PPP/3R1RK1 b - - 2 24,48,5hd19YaA,f7c7,516,24,f7f4,0.1219,0.1203,0.0976,0.0694,g4f2,g4f2,g4f2,g4f2,-53.0,0.1219,-0.0525,False
5rk1/1p4p1/p4q1p/2Pp4/3Np1n1/P1P3PP/1P3P2/3R1RK1 b - - 0 26,52,5hd19YaA,g4f2,622,99,g4e5,0.4891,0.5357,0.581,0.5889,g4f2,g4f2,g4f2,g4f2,0.0,0.5889,0.0998,False
