fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
rnbq3r/ppp1bQ1p/3pNnBk/8/4P3/8/PB3PPP/RN2K2R b KQ - 4 12,24,9w6Tt4ob,h7g6,-1995,3,c8e6,0.0532,0.0442,0.0599,0.0941,c8e6,c8e6,c8e6,c8e6,4.0,0.0941,0.0409,False
rnbq1rk1/pp2ppbp/6pn/3pP3/3P4/2NB4/PP2NPPP/R1BQK2R b KQ - 6 8,16,FxQQNTxi,h6f5,-24,7,b8c6,0.0573,0.0848,0.0894,0.046,b8c6,b8c6,b8c6,b8c6,-14.0,0.0894,-0.0113,False
r1bq1rk1/pp2ppbp/2n3p1/3pPB2/3P4/2N5/PP2NPPP/R1BQ1RK1 b - - 0 10,20,FxQQNTxi,c8f5,-19,207,c8f5,0.9597,0.9921,0.9967,0.9954,c8f5,c8f5,c8f5,c8f5,0.0,0.9967,0.0357,False
r2q1rk1/pp2ppbp/2n1b1p1/3pP3/3P1P2/2N3N1/PP4PP/R1BQ1RK1 b - - 0 12,24,FxQQNTxi,d8b6,2,37,d8d7,0.2981,0.3499,0.434,0.447,d8b6,d8b6,d8b6,d8b6,0.0,0.447,0.1489,False
r4rk1/pp1qp1bp/2n1bpp1/3pPP2/3P4/6N1/PP2N1PP/R1BQ1RK1 b - - 0 14,28,FxQQNTxi,e6f5,47,105,g6f5,0.2205,0.2724,0.2658,0.1849,g6f5,g6f5,g6f5,g6f5,120.0,0.2724,-0.0356,False
r4rk1/pp1qp1Np/2n1b3/3ppp2/3P4/8/PP2N1PP/R1BQ1RK1 b - - 0 16,32,FxQQNTxi,g8g7,35,317,g8g7,0.9761,0.9866,0.9898,0.991,g8g7,g8g7,g8g7,g8g7,0.0,0.991,0.0149,False
r4r1k/pp1qp2p/2n1b3/3pPp2/5N2/8/PP4PP/R1BQ1RK1 b - - 2 18,36,FxQQNTxi,d5d4,40,30,f8g8,0.0403,0.0247,0.0195,0.0251,c6e5,c6e5,c6e5,c6e5,526.0,0.0403,-0.0152,True
r6k/pp1qp2p/2n1b3/3pPp2/5Nr1/7P/PP2Q1P1/R1B2RK1 b - - 0 20,40,FxQQNTxi,g4g7,34,1,g4g3,0.298,0.4021,0.4771,0.4941,g4g7,g4g7,g4g7,g4g7,0.0,0.4941,0.1961,False
r6k/pp2p2p/2n1q3/3pPp2/8/6rP/PP3QP1/R1B2RK1 b - - 1 22,44,FxQQNTxi,a8g8,339,170,a8g8,0.6084,0.7959,0.8869,0.9037,a8g8,a8g8,a8g8,a8g8,0.0,0.9037,0.2953,False
6rk/pp2p2p/2n1q3/3pPp2/5B2/7P/PP4Q1/R4RK1 b - - 0 24,48,FxQQNTxi,g8g2,345,256,g8g2,0.9708,0.9888,0.9943,0.9963,g8g2,g8g2,g8g2,g8g2,0.0,0.9963,0.0255,False
7k/pp2p2p/2n1q3/4Pp2/3p1B2/5R1P/PP4K1/R7 b - - 1 26,52,FxQQNTxi,c6e5,414,63,e6d5,0.4994,0.528,0.5642,0.5792,c6e5,c6e5,c6e5,c6e5,0.0,0.5792,0.0798,False
7k/pp5p/2n1p3/3qPpB1/3p4/5R1P/PP4K1/4R3 b - - 1 28,56,FxQQNTxi,h8g7,392,6,h8g7,0.0151,0.0215,0.0281,0.0371,c6e5,c6e5,c6e5,c6e5,560.0,0.0371,0.022,True
8/pp3k1p/2n1pB2/3qPp2/3p4/5R1P/PP3K2/4R3 b - - 5 30,60,FxQQNTxi,d4d3,434,75,d4d3,0.3054,0.3159,0.2868,0.2282,d5a2,d5a2,d5a2,d5a2,88.0,0.3159,-0.0772,False
