fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r1bqkb1r/pp2pppp/2n5/2p1P3/2Pp1B2/3B1N2/PPP2PPP/R2QK2R b KQkq - 1 8,16,?,d8a5,-47,23,c8g4,0.026,0.0197,0.0128,0.0078,c8g4,c8g4,c8g4,c8g4,42.0,0.026,-0.0182,False
r2qkb1r/pp2pppp/2n5/2p1P3/2Pp1B2/3B1Q1P/PPP2PP1/R3K2R b KQkq - 0 10,20,?,d8a5,-89,8,e7e6,0.0754,0.0677,0.0748,0.0751,e7e6,e7e6,e7e6,e7e6,0.0,0.0754,-0.0003,False
r3kb1r/pp3ppp/2n1p3/q1p1P3/2Pp4/3B2QP/PPPB1PP1/R3K2R b KQkq - 3 12,24,?,a5c7,-76,12,a5c7,0.1799,0.1944,0.2451,0.3171,a5b6,a5b6,a5b6,a5b6,18.0,0.3171,0.1372,False
r3kb1r/ppq2p1p/2n1p1p1/2p1P3/2Pp1P2/3B2QP/PPPB2P1/R4RK1 b kq - 1 14,28,?,h7h5,-76,24,h7h5,0.0394,0.043,0.0619,0.2086,e8c8,f8g7,f8g7,f8g7,29.0,0.2086,0.1692,False
2kr1b1r/ppq2p2/2n1p1p1/2p1P2p/2Pp1P2/P2B2QP/1PPB2P1/4RRK1 b - - 0 16,32,?,h5h4,-93,6,h5h4,0.2404,0.2037,0.1456,0.0999,h5h4,f8e7,f8e7,f8e7,13.0,0.2404,-0.1405,False
2kr1b1r/ppq1np2/4p1p1/2p1P3/1PPp1P1p/P2B1Q1P/2PB2P1/4RRK1 b - - 0 18,36,?,e7f5,-114,11,e7f5,0.3808,0.5489,0.6842,0.6831,e7f5,e7f5,e7f5,e7f5,0.0,0.6842,0.3023,False
2kr3r/ppq2p2/4p1p1/2b1Pn2/2Pp1P1p/P2B1Q1P/2PB2P1/1R3RK1 b - - 1 20,40,?,f5e3,-40,34,b7b6,0.1308,0.1342,0.1349,0.1125,f5g3,f5g3,f5g3,d8d7,57.0,0.1349,-0.0183,False
2kr3r/p1q2p2/1p2p1p1/2b1P3/P1Pp1P1p/3BnQ1P/2PB2P1/1R2R1K1 b - - 2 22,44,?,c8d7,-9,0,a7a5,0.0797,0.0976,0.1055,0.1116,e3f5,e3f5,e3f5,e3f5,158.0,0.1116,0.0319,False
3r3r/2qk1p2/1p2p1p1/pRb1P3/P1Pp1P1p/3BnQ1P/2PB2P1/4R2K b - - 3 24,48,?,d7e8,14,124,d7e7,0.024,0.0258,0.0264,0.0246,e3f5,e3f5,e3f5,e3f5,138.0,0.0264,0.0006,True
3r3r/2q1kp2/1p2p1p1/pRb1Pn2/P1Pp1P1p/3B1Q1P/2PB2P1/4R2K b - - 7 26,52,?,e7f8,0,0,f5e3,0.0181,0.0218,0.0265,0.0307,f5g3,f5g3,f5g3,f5g3,0.0,0.0307,0.0126,False
3r3r/2q1kp2/1p2p1p1/pRb1Pn2/P1Pp1P1p/3B1Q1P/2PB2P1/4R2K b - - 11 28,56,?,e7f8,0,0,d8c8,0.0181,0.0218,0.0265,0.0307,f5g3,f5g3,f5g3,f5g3,0.0,0.0307,0.0126,False
1r5r/2q1kp2/1p2p1p1/BRb1Pn2/P1Pp1P1p/3B1Q1P/2P3P1/1R5K b - - 0 30,60,?,b6a5,-205,16,f5e3,0.4395,0.4163,0.3957,0.3807,b6a5,b6a5,f5g3,f5g3,18.0,0.4395,-0.0588,False
