fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2qr1k1/6pp/bpn1pb2/p1ppN3/P6P/N1PP2P1/1P3PB1/R1BQR1K1 b - - 0 16,32,?,c6e5,-63,89,c6e5,0.7824,0.8509,0.8979,0.9216,c6e5,c6e5,c6e5,c6e5,0.0,0.9216,0.1392,False
r2qr1k1/6pp/1p2pb2/pPppn3/7P/2PP2P1/1P3PB1/R1BQR1K1 b - - 0 18,36,?,e5f7,-92,8,e5f7,0.0178,0.0387,0.0547,0.0603,c5c4,d8d7,d8d7,d8d7,6.0,0.0603,0.0425,False
r3r1k1/3q1npp/1p2pb2/pPpp4/2P3QP/3P2P1/1P3PB1/R1B1R1K1 b - - 0 20,40,?,a8d8,-22,86,f7e5,0.0398,0.0789,0.1551,0.2398,f7e5,f7e5,f7e5,f7e5,71.0,0.2398,0.2,False
r3r1k1/3q2pp/1p2p3/pPpBb3/2P3QP/3P2P1/1P3P2/R1B3K1 b - - 0 22,44,?,h7h5,0,5,a8d8,0.0109,0.0073,0.0045,0.0033,e6d5,e6d5,a8d8,a8d8,12.0,0.0109,-0.0076,False
3r1rk1/3q2pp/1p2p3/pPp1b2Q/2P1B2P/3P2P1/1P3P2/R1B3K1 b - - 4 24,48,?,g7g5,-141,23,g7g6,0.0004,0.0003,0.0002,0.0002,g7g6,g7g6,g7g6,g7g6,385.0,0.0004,-0.0002,True
2kr1b1r/ppp1pppp/2n2n2/5q2/2PP2b1/4BN2/PP1NBPPP/R2QK2R b KQ - 4 8,16,?,e7e5,16,84,e7e5,0.2382,0.2253,0.241,0.3275,e7e5,e7e6,e7e6,e7e6,96.0,0.3275,0.0893,False
2kr1b1r/ppp2ppp/5n2/3Ppq2/1nP3b1/4BN2/PP1NBPPP/R2Q1RK1 b - - 2 10,20,?,b4c2,78,140,b4c2,0.3297,0.3244,0.3748,0.4785,b4c2,b4c2,b4c2,b4c2,0.0,0.4785,0.1488,False
2kr1b1r/Bpp2ppp/5n2/3Ppq2/2P3b1/5N2/PP1NBPPP/Q4RK1 b - - 0 12,24,?,e5e4,148,23,b7b6,0.3382,0.2235,0.1806,0.2166,e5e4,b7b6,b7b6,b7b6,106.0,0.3382,-0.1216,False
2kr3r/B1p2ppp/1p3n2/2bPpq2/1P4b1/5N2/P2NBPPP/Q4RK1 b - - 0 14,28,?,c5d6,202,38,c5d6,0.0371,0.039,0.0389,0.0432,c5b4,c5b4,c5b4,c5b4,25.0,0.0432,0.0061,False
3r3r/B1pk1ppp/1p1b1n2/3Ppq2/1P4b1/2Q2N2/P2NBPPP/4R1K1 b - - 4 16,32,?,d7e7,253,8,d8a8,0.0598,0.0852,0.1008,0.1203,f6d5,f6d5,f6d5,f6d5,51.0,0.1203,0.0605,False
r6r/B1pk1ppp/1pQb1n2/3Pp2q/1P1N2b1/8/P2NBPPP/4R1K1 b - - 8 18,36,?,d7e7,132,918,d7e7,0.9249,0.9643,0.9767,0.9766,d7e7,d7e7,d7e7,d7e7,0.0,0.9767,0.0517,False
r6r/B1p1kppp/1pQN1n2/3Pp2q/1P6/8/P2NbPPP/4R1K1 b - - 0 20,40,?,c7d6,380,102,c7d6,0.3746,0.4052,0.4331,0.4601,a8a7,a8a7,c7d6,c7d6,0.0,0.4601,0.0855,False
r6r/BQ1nkppp/1p1p4/3Pp2q/1P2N3/8/P3bPPP/4R1K1 b - - 3 22,44,?,h5g4,485,102,e2d3,0.0412,0.0365,0.0321,0.0339,e2d3,e2b5,e2b5,e2b5,177.0,0.0412,-0.0073,True
r6r/B2n1ppp/1pQk4/3Pp2q/1P6/3b4/P4PPP/4R1K1 b - - 1 24,48,?,d6e7,482,0,d6e7,1.0,1.0,1.0,1.0,d6e7,d6e7,d6e7,d6e7,0.0,1.0,0.0,False
r6r/B2n1ppp/1pQPk3/4p2q/1P6/3b4/P4PPP/3R2K1 b - - 2 26,52,?,h5d1,1999,1166,e5e4,0.8983,0.9346,0.9574,0.9684,h5d1,h5d1,h5d1,h5d1,0.0,0.9684,0.0701,False
r6r/B2n2pp/1pQPk3/5p1q/1P2p3/3b1P2/P5PP/4R1K1 b - - 0 28,56,?,h8c8,664,79,a8a7,0.0857,0.0984,0.1222,0.1586,a8a7,a8a7,a8a7,a8a7,66.0,0.1586,0.0729,False
7r/r2n2pp/1pQPk3/5p1q/1P2R3/8/P5PP/6K1 b - - 0 30,60,?,f5e4,839,446,f5e4,0.7888,0.8272,0.859,0.86,f5e4,f5e4,f5e4,f5e4,0.0,0.86,0.0712,False
rnb2rk1/ppp2pp1/4pq1p/3p4/1bPP4/2N1PN2/PP3PPP/2RQKB1R b K - 2 8,16,?,d5c4,-20,5,d5c4,0.0554,0.0504,0.0506,0.0597,b8c6,b8c6,c7c5,c7c5,41.0,0.0597,0.0043,False
rnb2rk1/pp3pp1/4pq1p/2p5/1bBP4/1QN1PN2/PP3PPP/2R1K2R b K - 1 10,20,?,b4c3,-11,2,c5d4,0.0548,0.0546,0.0548,0.0407,b8c6,b8c6,b8c6,b8c6,13.0,0.0548,-0.0141,False
r1b2rk1/pp3pp1/2n1pq1p/8/2Bp4/Q1N1PN2/PP3PPP/2R1K2R b K - 2 12,24,?,d4c3,-5,291,d4c3,0.7732,0.8365,0.8707,0.8892,d4c3,d4c3,d4c3,d4c3,0.0,0.8892,0.116,False
r1b2rk1/pp2qpp1/2n1p2p/8/2B5/2Q1PN2/PP3PPP/2R2RK1 b - - 2 14,28,?,c8d7,0,5,c8d7,0.2639,0.3384,0.4577,0.6218,c8d7,c8d7,c8d7,c8d7,0.0,0.6218,0.3579,False
