fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2qk2r/pp1bppbp/2np1np1/2p5/P1B1PB2/3P1N2/1PP2PPP/RN1Q1RK1 b kq - 0 8,16,T2025-09_1,f6h5,27,13,e8g8,0.0225,0.0377,0.0498,0.0626,e8g8,e8g8,e8g8,e8g8,11.0,0.0626,0.0401,False
r2q1rk1/pp1b1pbp/2np1np1/2p1p3/P1B1P3/3PBN2/1PP2PPP/RN1QR1K1 b - - 1 10,20,T2025-09_1,h7h6,12,1,h7h6,0.0137,0.0153,0.0281,0.117,a7a6,a7a6,a7a6,a7a6,1.0,0.117,0.1033,False
r2q1r2/pp1b1pbk/2np1npp/2p1p3/P1B1P3/2NPBN2/1PPQ1PPP/R3R1K1 b - - 3 12,24,T2025-09_1,f6e8,62,4,d7e6,0.0177,0.0183,0.0165,0.0192,f6g4,f6g4,f6g4,f6g4,43.0,0.0192,0.0015,False
r2q1r2/pp4bk/2nppnpp/2p1p3/P3P3/3PBN2/1PPQNPPP/R3R1K1 b - - 1 14,28,T2025-09_1,f6g4,23,2,a8c8,0.1816,0.278,0.4089,0.4673,d6d5,f6g4,f6g4,f6g4,0.0,0.4673,0.2857,False
2rq1r2/p5bk/1pnppnpp/2p1p3/P3P3/3PBNNP/1PPQ1PP1/R3R1K1 b - - 1 16,32,T2025-09_1,c6d4,12,5,c6d4,0.0999,0.1849,0.3048,0.4206,d6d5,d6d5,c6d4,c6d4,0.0,0.4206,0.3207,False
2rq1r2/p5bk/1p1ppnpp/2p5/P2pP3/2PP1NNP/1P1Q1PP1/R3R1K1 b - - 0 18,36,T2025-09_1,e6e5,50,3,e6e5,0.3308,0.4653,0.5686,0.5531,d4c3,e6e5,e6e5,e6e5,0.0,0.5686,0.2223,False
2rq1r2/p5bk/1p1p1npp/4p3/P2pP3/3P1NNP/1P1Q1PP1/R1R3K1 b - - 1 20,40,T2025-09_1,c8c1,-39,4,f8f7,0.3686,0.2203,0.0916,0.0362,c8c1,d8d7,d8d7,d8d7,11.0,0.3686,-0.3324,False
2q5/p4rbk/1p1p1npp/4p3/P2pP3/3P1NNP/1P1Q1PP1/2R3K1 b - - 1 22,44,T2025-09_1,f7c7,-54,0,f7c7,0.3442,0.368,0.4496,0.5747,f7c7,f7c7,f7c7,f7c7,0.0,0.5747,0.2305,False
8/p1q3bk/1p1p1npp/4p3/P2pP2P/3P1NN1/1P1Q1PP1/6K1 b - - 0 24,48,T2025-09_1,g7f8,-51,1,c7c6,0.0177,0.0171,0.0181,0.037,h6h5,h6h5,c7c6,c7c6,-9.0,0.037,0.0193,False
8/p5bk/1pqp2pp/4p2N/P2pP3/3P1N2/1P1Q1PP1/6K1 b - - 0 26,52,T2025-09_1,g6h5,-31,288,g6h5,0.974,0.9882,0.993,0.994,g6h5,g6h5,g6h5,g6h5,0.0,0.994,0.02,False
8/p5bk/1pq4p/3Pp2p/P2p3N/3P4/1P1Q1PP1/6K1 b - - 0 28,56,T2025-09_1,c6d5,-20,138,c6d5,0.9559,0.9602,0.9646,0.9623,c6d5,c6d5,c6d5,c6d5,0.0,0.9646,0.0064,False
8/p5bk/1p5p/3q3p/P2pP3/5N2/1P1Q1PP1/6K1 b - - 0 30,60,T2025-09_1,d5e4,22,93,d5e4,0.9696,0.9842,0.9896,0.9905,d5e4,d5e4,d5e4,d5e4,0.0,0.9905,0.0209,False
8/p5bk/1p5p/8/P2pq2p/8/1P3PP1/3QN1K1 b - - 1 32,64,T2025-09_1,h7h8,22,4,h7g6,0.0088,0.0127,0.0167,0.019,g7e5,g7e5,g7e5,g7e5,-2.0,0.019,0.0102,False
8/p7/1p3bkp/8/P2pq2p/1Q1N4/1P3PP1/6K1 b - - 5 34,68,T2025-09_1,g6g7,11,3,g6g7,0.0195,0.0396,0.0758,0.1316,h4h3,h4h3,h4h3,h4h3,11.0,0.1316,0.1121,False
rn2kb1r/1b1ppppp/1q3n2/1BpP4/P7/2N1P3/1P3PPP/R1BQK1NR b KQkq - 0 8,16,T2025-09_2,b8a6,-199,3,e7e6,0.0514,0.0756,0.1141,0.1122,e7e6,e7e6,g7g6,g7g6,43.0,0.1141,0.0608,False
rn2kb1r/1b1p1ppp/1q3n2/1BpP4/P7/2N5/1P3PPP/R1BQK1NR b KQkq - 0 10,20,T2025-09_2,b8a6,-243,20,f6d5,0.0374,0.0415,0.045,0.0639,f8d6,f8d6,f8d6,f8d6,17.0,0.0639,0.0265,False
rn2kb1r/1b1p1ppp/4q3/1Bp5/P7/4N3/1P3PPP/R1BQK1NR b KQkq - 2 12,24,T2025-09_2,b7g2,-328,81,b7g2,0.5847,0.6623,0.7193,0.7416,b7g2,b7g2,b7g2,b7g2,0.0,0.7416,0.1569,False
rn2kb1r/3pqppp/8/2pB4/P7/4N3/1P3PbP/R1BQK1NR b KQkq - 3 14,28,T2025-09_2,g2h1,-358,66,g2h1,0.6882,0.6395,0.578,0.4711,g2h1,g2h1,g2h1,g2d5,79.0,0.6882,-0.2171,False
