set,elo,fen,engine_best,rank
machine_unique,1100,r4rk1/1p1bq1p1/p1n2n1p/2Ppp3/7N/P1PB4/1P1N1PPP/2RQR1K1 b - - 1 16,f6g4,3.0
machine_unique,1100,r1bq1rk1/ppp2p2/2n1p2R/3p4/1bPP2p1/2NBPNP1/PP3PP1/2RQK3 b - - 0 12,d5c4,5.0
machine_unique,1100,r4rk1/5p2/5qp1/7p/1p2R2P/3Q1P2/1PP2bR1/1NK5 b - - 1 26,f8d8,5.0
machine_unique,1100,2k3rr/p1qn1p2/4p3/2p1P1Pp/2PpR3/P6Q/2PB2PP/1R5K b - - 0 24,h5h4,
machine_unique,1100,2kr3r/1pp2ppp/2n1p3/8/1b2N3/1BPPP1PP/1P6/2KR3R b - - 0 20,b4f8,
machine_unique,1100,1k1r3r/1pp1bppp/2n1p3/8/3PN3/1BP1P1PP/RPK5/7R b - - 4 24,b7b5,
machine_unique,1100,3r3r/1kp3pp/1pn1p3/5pb1/1P1P4/2P1PBPP/R1KN4/R7 b - - 2 30,d8d5,
machine_unique,1100,r2q1rk1/p4p1p/6pQ/1ppnPb2/3p1P2/1P1P2PP/P1P5/R1B2RK1 b - - 0 20,f8e8,
machine_unique,1100,3r2k1/5p2/1R4np/2p3pq/4P3/4QPR1/1P3P1P/7K b - - 0 32,c5c4,5.0
machine_unique,1100,2r1kr2/pp4pp/2n1P1n1/2b5/Bqp5/2N5/PP2Q1PP/1RB2R1K b - - 8 22,c5d4,
machine_unique,1100,r2qkb1r/4pp1p/2n3p1/pp1p1b2/2pPN3/2P2N1P/PPB2PP1/R1B1QRK1 b kq - 0 12,f8g7,3.0
machine_unique,1100,8/p5p1/1p3k1p/8/P2RPP1P/6P1/4r3/6K1 b - - 0 34,h6h5,
machine_unique,1100,8/6pk/2p5/P2b4/1P4q1/2Q5/6PK/6R1 b - - 1 34,h7g8,
machine_unique,1100,r2q1r1k/pp1b3p/1n2pb2/4B3/2PP1N2/1P2Q2P/P1R5/4KNR1 b - - 2 24,d7e8,
machine_unique,1100,1r6/1p1q1pk1/pR1p2pp/3Ppn2/2P1n3/5N2/PQ3PPP/1R4K1 b - - 3 26,d7e7,
machine_unique,1100,rn1q4/pp1b1kp1/2pP1p2/4Q1B1/7N/2P5/PPP3PP/R4RK1 b - - 0 24,d7e8,
machine_unique,1100,r3r1k1/1ppq4/pb1pN2p/3P2p1/3Pn3/1Q3N1P/P2B1PP1/R5K1 b - - 1 20,d7b5,
