fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,sim,margin
rnbb2k1/pp2n1p1/1q2p2p/3pPr2/1P1P4/P2Q1N2/4NP1P/RBB3RK b - - 5 20,40,tz1iopky,g8f7,-418,3,b8d7,0.0143,0.0181,0.0152,0.0104,b8c6,b8c6,g8h8,g8h8,191.0,0.0181,-0.0039,True,club,03_bands_club,2008,2140,2140,False,True,6,0.7432,0.0269
5n1r/p3r1k1/3p1p2/1R3P1p/4P1p1/2b1B1P1/B5KP/5R2 b - - 0 32,64,GF5vtBlD,f8h7,0,3,h5h4,0.0241,0.0289,0.0332,0.041,e7e4,e7e4,e7e4,e7e4,698.0,0.041,0.0169,True,club,03_bands_club,2073,2049,2049,False,True,5,0.5108,0.0816
rn3rk1/pb4pp/3q4/1p1Ppp2/4p3/PQ2P3/BP1N1PPP/2R1K2R b K - 3 16,32,Sodns02o,d6b6,-100,5,a7a6,0.0023,0.0013,0.0007,0.0004,a7a6,a7a6,a7a6,a7a6,131.0,0.0023,-0.0019,True,club,03_bands_club,2013,2008,2008,False,True,5,0.6219,0.0171
r1bqk2r/pp2nppp/2n1p3/2bpP3/3p3P/3B1N2/PPP2PP1/RNBQR1K1 b kq - 0 8,16,T4nwWbUI,f7f6,69,7,c8d7,0.0092,0.0048,0.0015,0.0006,e8g8,e8g8,e8g8,e7g6,119.0,0.0092,-0.0086,True,club,03_bands_club,2059,2062,2062,False,True,3,0.7548,0.1198
2r4r/1R1nbk2/p2p4/Q2Pp1B1/6p1/3N2P1/P1q1P2P/5RK1 b - - 2 28,56,plgryZ5x,f7g8,-430,45,f7e8,0.0073,0.007,0.0067,0.0079,f7e8,f7e8,f7e8,f7e8,176.0,0.0079,0.0006,True,club,03_bands_club,2163,2092,2092,False,True,6,0.663,0.1725
rn2kb1r/pp4pp/1q2bp2/1Np1p3/1P2Pn2/P4NP1/1B1P1P1P/R2QKB1R b KQkq - 0 12,24,3aB1dfSc,f4g2,72,94,f4g2,0.0026,0.0013,0.0009,0.0007,f4g6,f4g6,f4g6,f4g6,102.0,0.0026,-0.0019,True,club,03_bands_club,2068,2004,2004,True,False,3,0.6461,0.0105
1r6/p1pk1p1p/4p1pb/3pP3/3P1P2/1N1K2P1/P6P/1R6 b - - 0 24,48,MIzinMiu,b8b6,203,50,b8b6,0.0169,0.0173,0.0148,0.0094,h6f8,h6f8,h6f8,h6f8,689.0,0.0173,-0.0075,True,club,03_bands_club,2143,2132,2132,True,False,0,0.5506,0.1308
r2q1r2/2p1npkp/3p2p1/1bnPp3/p3P1PP/P4N2/1PBQNP2/1K1R3R b - - 0 20,40,R3UMS70h,f7f6,-36,11,h7h6,0.0117,0.0121,0.015,0.0221,c5b3,c5b3,c5b3,c5b3,194.0,0.0221,0.0104,True,club,03_bands_club,2051,2156,2156,False,True,2,0.6246,0.182
r6k/2p2r2/3p1qQP/1bnPpP2/p7/P7/1PB2P2/1K4RR b - - 2 32,64,R3UMS70h,a8d8,0,387,b5d3,0.0011,0.0011,0.0011,0.0013,f6g6,f6g6,f6g6,b5d3,457.0,0.0013,0.0002,True,club,03_bands_club,2051,2156,2156,False,True,0,0.474,0.0107
rn2r2k/2pbP1bp/q4pp1/ppB1p3/4P2N/1BN4P/PPP2QP1/2KR3R b - - 2 18,36,IGzjdpUG,d7e6,-539,53,b5b4,0.0332,0.0335,0.0381,0.0488,a5a4,a5a4,a5a4,a5a4,1458.0,0.0488,0.0156,True,club,03_bands_club,2040,2183,2183,False,True,1,0.8153,0.1812
2r5/1r1nppk1/6pp/1p6/1RN1PP2/4K1PP/8/1R6 b - - 1 34,68,6MvoTGWB,b7a7,334,15,b7b8,0.0072,0.0064,0.0062,0.0064,c8c4,c8c4,c8c5,c8c5,227.0,0.0072,-0.0008,True,club,03_bands_club,2064,2081,2081,False,True,0,0.5565,0.2351
