fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
r4rk1/1p1bq1p1/p1n2n1p/2Ppp3/7N/P1PB4/1P1N1PPP/2RQR1K1 b - - 1 16,32,5hd19YaA,f6g4,127,83,e5e4,0.0467,0.0403,0.0327,0.029,e5e4,e5e4,e5e4,e5e4,270.0,0.0467,-0.0177,True,club,03_disagreements,1952,1979,1979,False,True
r1bq1rk1/ppp2p2/2n1p2R/3p4/1bPP2p1/2NBPNP1/PP3PP1/2RQK3 b - - 0 12,24,ZmIK0RUK,d5c4,-247,10,g4f3,0.0107,0.0069,0.0094,0.022,g4f3,g4f3,g4f3,g4f3,129.0,0.022,0.0113,True,club,03_disagreements,2951,2616,2616,False,True
r4rk1/5p2/5qp1/7p/1p2R2P/3Q1P2/1PP2bR1/1NK5 b - - 1 26,52,6SE2GH52,f8d8,434,33,f2h4,0.0088,0.0074,0.0081,0.0113,f2h4,f2h4,f2h4,f2h4,269.0,0.0113,0.0025,True,club,03_disagreements,2123,2061,2061,False,True
2k3rr/p1qn1p2/4p3/2p1P1Pp/2PpR3/P6Q/2PB2PP/1R5K b - - 0 24,48,dJVtH2o5,h5h4,-269,34,c7c6,0.0332,0.0216,0.015,0.0146,d7e5,d7e5,d7e5,d7e5,313.0,0.0332,-0.0186,True,club,03_disagreements,2157,2101,2101,False,True
2kr3r/1pp2ppp/2n1p3/8/1b2N3/1BPPP1PP/1P6/2KR3R b - - 0 20,40,DbNLygqd,b4f8,-114,0,b4e7,0.0073,0.0057,0.004,0.0042,b4a5,b4a5,b4a5,b4e7,130.0,0.0073,-0.0031,True,club,03_disagreements,1940,1954,1954,False,True
1k1r3r/1pp1bppp/2n1p3/8/3PN3/1BP1P1PP/RPK5/7R b - - 4 24,48,DbNLygqd,b7b5,-105,39,b7b6,0.0112,0.0058,0.0036,0.0024,f7f5,f7f5,f7f5,f7f5,248.0,0.0112,-0.0088,True,club,03_disagreements,1940,1954,1954,False,True
r2q1rk1/p4p1p/6pQ/1ppnPb2/3p1P2/1P1P2PP/P1P5/R1B2RK1 b - - 0 20,40,qN5vDDhz,f8e8,375,12,d5e7,0.0142,0.0143,0.0135,0.0181,d5e3,d5e3,d8d7,d8d7,140.0,0.0181,0.0039,True,club,03_disagreements,1986,2075,2075,False,True
3r2k1/5p2/1R4np/2p3pq/4P3/4QPR1/1P3P1P/7K b - - 0 32,64,OMBhQLoH,c5c4,-296,6,d8d1,0.0292,0.017,0.0128,0.0135,d8d1,d8d1,g6f4,g6f4,413.0,0.0292,-0.0157,True,club,03_disagreements,2044,2077,2077,False,True
2r1kr2/pp4pp/2n1P1n1/2b5/Bqp5/2N5/PP2Q1PP/1RB2R1K b - - 8 22,44,ovr0cZUd,c5d4,-280,75,f8f1,0.0481,0.0319,0.0219,0.0177,f8f1,f8f1,f8f1,f8f1,237.0,0.0481,-0.0304,True,club,03_disagreements,1892,1889,1889,False,True
8/p5p1/1p3k1p/8/P2RPP1P/6P1/4r3/6K1 b - - 0 34,68,KMD4FowC,h6h5,-129,60,e2e3,0.0174,0.0204,0.0305,0.0497,e2e3,e2e3,e2e3,e2e3,183.0,0.0497,0.0323,True,club,03_disagreements,2260,2002,2002,False,True
r2q1r1k/pp1b3p/1n2pb2/4B3/2PP1N2/1P2Q2P/P1R5/4KNR1 b - - 2 24,48,Hkk7cbBb,d7e8,-511,127,d8e7,0.0179,0.0174,0.0171,0.017,f6e5,f6e5,f6e5,f6e5,1475.0,0.0179,-0.0009,True,club,03_disagreements,1996,2031,2031,False,True
1r6/1p1q1pk1/pR1p2pp/3Ppn2/2P1n3/5N2/PQ3PPP/1R4K1 b - - 3 26,52,KEezw1Yx,d7e7,-195,38,e4c5,0.0143,0.0106,0.0084,0.0092,e4c5,e4c5,e4c5,e4c5,244.0,0.0143,-0.0051,True,club,03_disagreements,2097,2095,2095,False,True
rn1q4/pp1b1kp1/2pP1p2/4Q1B1/7N/2P5/PPP3PP/R4RK1 b - - 0 24,48,3Y7KRrw3,d7e8,-817,18,d8b6,0.0037,0.0039,0.0046,0.0045,d8b6,d8b6,d8b6,d7e6,250.0,0.0046,0.0008,True,club,03_disagreements,1827,1907,1907,False,True
r3r1k1/1ppq4/pb1pN2p/3P2p1/3Pn3/1Q3N1P/P2B1PP1/R5K1 b - - 1 20,40,wGhEsRRL,d7b5,204,86,d7f7,0.0192,0.0215,0.0256,0.0307,e4d2,e4d2,e4d2,e4d2,239.0,0.0307,0.0115,True,club,03_disagreements,2028,1946,1946,False,True
2r1k2r/pR1nNpp1/4p1p1/6P1/3P4/5Q1P/P1q2P2/2B1R1K1 b k - 0 20,40,KMkj8gty,c8c3,-417,72,e8e7,0.0479,0.036,0.0256,0.0224,e8e7,e8e7,e8e7,e8e7,655.0,0.0479,-0.0255,True,club,03_disagreements,2166,2106,2106,False,True
rn3r2/pp2p1kp/2p3p1/3pPq2/3P3P/3Q1P2/PPP1K3/RN5R b - - 2 16,32,TNsrzgx8,c6c5,146,24,f5d3,0.0126,0.0106,0.013,0.0145,f5d3,f5d3,f5d3,f5f4,112.0,0.0145,0.0019,True,club,03_disagreements,1919,1937,1937,False,True
